episode: 21900 | round: 3 | strat: exploit | valution: 0.286 | bid: 0.000 | opps: ['None', 'None', 'None'] | won: False | reward: 0.0000 | epsilon: 0.0375 | hype: 0.561
episode: 21900 | round: 4 | strat: exploit | valution: 0.286 | bid: 0.220 | opps: ['None', 'None', 'None'] | won: False | reward: -0.0267 | epsilon: 0.0375 | hype: 0.781
episode: 21900 | round: 5 | strat: exploit | valution: 0.303 | bid: 0.000 | opps: ['None', 'None', 'None'] | won: True | reward: 0.0559 | epsilon: 0.0375 | hype: 1.001

episode: 22000 | round: 1 | strat: exploit | valution: 0.465 | bid: 0.630 | opps: ['0.594', 'None', '0.593'] | won: False | reward: 0.0330 | epsilon: 0.0370 | hype: 0.630
episode: 22000 | round: 2 | strat: exploit | valution: 0.548 | bid: 0.640 | opps: ['None', 'None', '0.711'] | won: False | reward: 0.0030 | epsilon: 0.0370 | hype: 1.341
episode: 22000 | round: 3 | strat: exploit | valution: 0.588 | bid: 0.000 | opps: ['None', 'None', 'None'] | won: False | reward: 0.0030 | epsilon: 0.0370 | hype: 2.053
episode: 22000 | round: 4 | strat: exploit | valution: 0.588 | bid: 0.000 | opps: ['None', 'None', 'None'] | won: False | reward: 0.0030 | epsilon: 0.0370 | hype: 2.764
episode: 22000 | round: 5 | strat: exploit | valution: 0.588 | bid: 0.000 | opps: ['None', 'None', 'None'] | won: False | reward: 0.0030 | epsilon: 0.0370 | hype: 3.475

episode: 22100 | round: 1 | strat: exploit | valution: 0.977 | bid: 1.000 | opps: ['1.000', 'None', '1.000'] | won: False | reward: -0.0300 | epsilon: 0.0364 | hype: 1.000
episode: 22100 | round: 2 | strat: exploit | valution: 0.989 | bid: 0.000 | opps: ['None', 'None', 'None'] | won: False | reward: -0.0300 | epsilon: 0.0364 | hype: 2.000
episode: 22100 | round: 3 | strat: explore | valution: 0.989 | bid: 0.380 | opps: ['None', 'None', 'None'] | won: False | reward: -0.0600 | epsilon: 0.0364 | hype: 3.000
episode: 22100 | round: 4 | strat: exploit | valution: 0.989 | bid: 0.000 | opps: ['None', 'None', 'None'] | won: False | reward: -0.0600 | epsilon: 0.0364 | hype: 4.000
episode: 22100 | round: 5 | strat: exploit | valution: 0.989 | bid: 0.000 | opps: ['None', 'None', 'None'] | won: False | reward: -0.0600 | epsilon: 0.0364 | hype: 5.000

episode: 22200 | round: 1 | strat: exploit | valution: 0.077 | bid: 0.000 | opps: ['None', 'None', '0.140'] | won: False | reward: 0.0000 | epsilon: 0.0359 | hype: 0.140
episode: 22200 | round: 2 | strat: exploit | valution: 0.109 | bid: 0.000 | opps: ['None', 'None', 'None'] | won: False | reward: 0.0000 | epsilon: 0.0359 | hype: 0.281
episode: 22200 | round: 3 | strat: exploit | valution: 0.109 | bid: 0.000 | opps: ['None', 'None', 'None'] | won: False | reward: 0.0000 | epsilon: 0.0359 | hype: 0.421
episode: 22200 | round: 4 | strat: exploit | valution: 0.109 | bid: 0.000 | opps: ['None', 'None', 'None'] | won: False | reward: 0.0000 | epsilon: 0.0359 | hype: 0.562
episode: 22200 | round: 5 | strat: exploit | valution: 0.109 | bid: 0.000 | opps: ['None', 'None', 'None'] | won: False | reward: 0.0000 | epsilon: 0.0359 | hype: 0.702

episode: 22300 | round: 1 | strat: exploit | valution: 0.572 | bid: 0.000 | opps: ['0.784', 'None', '0.510'] | won: False | reward: 0.0000 | epsilon: 0.0353 | hype: 0.784
episode: 22300 | round: 2 | strat: explore | valution: 0.678 | bid: 0.000 | opps: ['None', 'None', 'None'] | won: False | reward: 0.0000 | epsilon: 0.0353 | hype: 1.569
episode: 22300 | round: 3 | strat: exploit | valution: 0.678 | bid: 0.000 | opps: ['None', 'None', 'None'] | won: False | reward: 0.0000 | epsilon: 0.0353 | hype: 2.353
episode: 22300 | round: 4 | strat: exploit | valution: 0.678 | bid: 0.000 | opps: ['None', 'None', 'None'] | won: False | reward: 0.0000 | epsilon: 0.0353 | hype: 3.138
episode: 22300 | round: 5 | strat: exploit | valution: 0.678 | bid: 0.000 | opps: ['None', 'None', 'None'] | won: False | reward: 0.0000 | epsilon: 0.0353 | hype: 3.922

episode: 22400 | round: 1 | strat: exploit | valution: 0.548 | bid: 0.000 | opps: ['0.740', 'None', '0.582'] | won: False | reward: 0.0000 | epsilon: 0.0348 | hype: 0.740
episode: 22400 | round: 2 | strat: exploit | valution: 0.644 | bid: 0.000 | opps: ['None', 'None', '0.761'] | won: False | reward: 0.0000 | epsilon: 0.0348 | hype: 1.500
episode: 22400 | round: 3 | strat: exploit | valution: 0.654 | bid: 0.000 | opps: ['None', 'None', 'None'] | won: False | reward: 0.0000 | epsilon: 0.0348 | hype: 2.261
episode: 22400 | round: 4 | strat: exploit | valution: 0.654 | bid: 0.000 | opps: ['None', 'None', 'None'] | won: False | reward: 0.0000 | epsilon: 0.0348 | hype: 3.022
episode: 22400 | round: 5 | strat: exploit | valution: 0.654 | bid: 0.000 | opps: ['None', 'None', 'None'] | won: False | reward: 0.0000 | epsilon: 0.0348 | hype: 3.783

episode: 22500 | round: 1 | strat: exploit | valution: 0.506 | bid: 0.000 | opps: ['0.825', 'None', '0.418'] | won: False | reward: 0.0000 | epsilon: 0.0343 | hype: 0.825
episode: 22500 | round: 2 | strat: exploit | valution: 0.666 | bid: 0.000 | opps: ['None', 'None', 'None'] | won: False | reward: 0.0000 | epsilon: 0.0343 | hype: 1.651
episode: 22500 | round: 3 | strat: exploit | valution: 0.666 | bid: 0.000 | opps: ['None', 'None', 'None'] | won: False | reward: 0.0000 | epsilon: 0.0343 | hype: 2.476
episode: 22500 | round: 4 | strat: exploit | valution: 0.666 | bid: 0.000 | opps: ['None', 'None', 'None'] | won: False | reward: 0.0000 | epsilon: 0.0343 | hype: 3.301
episode: 22500 | round: 5 | strat: exploit | valution: 0.666 | bid: 0.000 | opps: ['None', 'None', 'None'] | won: False | reward: 0.0000 | epsilon: 0.0343 | hype: 4.127

episode: 22600 | round: 1 | strat: exploit | valution: 0.773 | bid: 0.000 | opps: ['0.874', 'None', '0.729'] | won: False | reward: 0.0000 | epsilon: 0.0338 | hype: 0.874
episode: 22600 | round: 2 | strat: exploit | valution: 0.824 | bid: 0.000 | opps: ['None', 'None', '0.901'] | won: False | reward: 0.0000 | epsilon: 0.0338 | hype: 1.776
episode: 22600 | round: 3 | strat: exploit | valution: 0.837 | bid: 0.000 | opps: ['None', 'None', 'None'] | won: False | reward: 0.0000 | epsilon: 0.0338 | hype: 2.677
episode: 22600 | round: 4 | strat: exploit | valution: 0.837 | bid: 0.000 | opps: ['None', 'None', 'None'] | won: False | reward: 0.0000 | epsilon: 0.0338 | hype: 3.579
episode: 22600 | round: 5 | strat: exploit | valution: 0.837 | bid: 0.000 | opps: ['None', 'None', 'None'] | won: False | reward: 0.0000 | epsilon: 0.0338 | hype: 4.480

episode: 22700 | round: 1 | strat: exploit | valution: 0.930 | bid: 0.000 | opps: ['1.000', 'None', '0.756'] | won: False | reward: 0.0000 | epsilon: 0.0333 | hype: 1.000
episode: 22700 | round: 2 | strat: exploit | valution: 0.965 | bid: 0.000 | opps: ['None', 'None', 'None'] | won: False | reward: 0.0000 | epsilon: 0.0333 | hype: 2.000
episode: 22700 | round: 3 | strat: exploit | valution: 0.965 | bid: 0.000 | opps: ['None', 'None', 'None'] | won: False | reward: 0.0000 | epsilon: 0.0333 | hype: 3.000
episode: 22700 | round: 4 | strat: exploit | valution: 0.965 | bid: 0.000 | opps: ['None', 'None', 'None'] | won: False | reward: 0.0000 | epsilon: 0.0333 | hype: 4.000
episode: 22700 | round: 5 | strat: exploit | valution: 0.965 | bid: 0.000 | opps: ['None', 'None', 'None'] | won: False | reward: 0.0000 | epsilon: 0.0333 | hype: 5.000

episode: 22800 | round: 1 | strat: exploit | valution: 0.509 | bid: 0.000 | opps: ['0.750', 'None', '0.562'] | won: False | reward: 0.0000 | epsilon: 0.0328 | hype: 0.750
episode: 22800 | round: 2 | strat: exploit | valution: 0.629 | bid: 0.000 | opps: ['None', 'None', '0.756'] | won: False | reward: 0.0000 | epsilon: 0.0328 | hype: 1.505
episode: 22800 | round: 3 | strat: exploit | valution: 0.632 | bid: 0.000 | opps: ['None', 'None', 'None'] | won: False | reward: 0.0000 | epsilon: 0.0328 | hype: 2.261
episode: 22800 | round: 4 | strat: exploit | valution: 0.632 | bid: 0.000 | opps: ['None', 'None', 'None'] | won: False | reward: 0.0000 | epsilon: 0.0328 | hype: 3.017
episode: 22800 | round: 5 | strat: exploit | valution: 0.632 | bid: 0.000 | opps: ['None', 'None', 'None'] | won: False | reward: 0.0000 | epsilon: 0.0328 | hype: 3.772

episode: 22900 | round: 1 | strat: exploit | valution: 0.797 | bid: 0.000 | opps: ['1.000', '1.000', '0.851'] | won: False | reward: 0.0000 | epsilon: 0.0323 | hype: 1.000
episode: 22900 | round: 2 | strat: exploit | valution: 0.899 | bid: 0.000 | opps: ['None', 'None', 'None'] | won: False | reward: 0.0000 | epsilon: 0.0323 | hype: 2.000
episode: 22900 | round: 3 | strat: exploit | valution: 0.899 | bid: 0.000 | opps: ['None', 'None', 'None'] | won: False | reward: 0.0000 | epsilon: 0.0323 | hype: 3.000
episode: 22900 | round: 4 | strat: exploit | valution: 0.899 | bid: 0.000 | opps: ['None', 'None', 'None'] | won: False | reward: 0.0000 | epsilon: 0.0323 | hype: 4.000
episode: 22900 | round: 5 | strat: explore | valution: 0.899 | bid: 0.020 | opps: ['None', 'None', 'None'] | won: False | reward: -0.0300 | epsilon: 0.0323 | hype: 5.000

episode: 23000 | round: 1 | strat: exploit | valution: 0.445 | bid: 0.000 | opps: ['0.624', 'None', '0.319'] | won: False | reward: 0.0000 | epsilon: 0.0318 | hype: 0.624
episode: 23000 | round: 2 | strat: exploit | valution: 0.534 | bid: 0.000 | opps: ['None', 'None', 'None'] | won: False | reward: 0.0000 | epsilon: 0.0318 | hype: 1.248
episode: 23000 | round: 3 | strat: exploit | valution: 0.534 | bid: 0.000 | opps: ['None', 'None', 'None'] | won: False | reward: 0.0000 | epsilon: 0.0318 | hype: 1.872
episode: 23000 | round: 4 | strat: exploit | valution: 0.534 | bid: 0.000 | opps: ['None', 'None', 'None'] | won: False | reward: 0.0000 | epsilon: 0.0318 | hype: 2.496
